ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
EG Ampol Eagle Vale,"Eaglevale Road (Eaglevale Market Place), Eagle Vale NSW 2558",Eagle Vale,2558,EG Ampol,U91,2026-04-14 07:54:14,218.9
EG Ampol Eagle Vale,"Eaglevale Road (Eaglevale Market Place), Eagle Vale NSW 2558",Eagle Vale,2558,EG Ampol,P95,2026-04-14 07:54:14,236.9
EG Ampol Eagle Vale,"Eaglevale Road (Eaglevale Market Place), Eagle Vale NSW 2558",Eagle Vale,2558,EG Ampol,P98,2026-04-14 07:54:14,243.9
EG Ampol Hoxton Park,"490 Cowpasture Road, Hoxton Park NSW 2171",Hoxton Park,2171,EG Ampol,E10,2026-04-14 07:54:14,216.9
EG Ampol Hoxton Park,"490 Cowpasture Road, Hoxton Park NSW 2171",Hoxton Park,2171,EG Ampol,P95,2026-04-14 07:54:14,228.9
EG Ampol Hoxton Park,"490 Cowpasture Road, Hoxton Park NSW 2171",Hoxton Park,2171,EG Ampol,P98,2026-04-14 07:54:14,242.9
Caltex Hillvue,"464 GOONOO GOONOO RD, HILLVUE NSW 2340",HILLVUE,2340,Caltex,P98,2026-04-14 07:54:47,240.9
Arko Energy Freshwater,"119 Harbord Rd, Freshwater NSW 2096",Freshwater,2096,Arko Energy,P98,2026-04-14 07:55:48,236.9
Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,E10,2026-04-14 08:01:05,209.9
Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,U91,2026-04-14 08:01:05,211.9
Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,P98,2026-04-14 08:01:05,235.9
Shell Tolland,"229 BOURKE ST, TOLLAND NSW 2650",TOLLAND,2650,Shell,U91,2026-04-14 08:02:45,218.9
Shell Tolland,"229 BOURKE ST, TOLLAND NSW 2650",TOLLAND,2650,Shell,P98,2026-04-14 08:02:45,241.9
Shell Deniliquin,"375 Cressy St, Deniliquin NSW 2710",Deniliquin,2710,Shell,U91,2026-04-14 08:03:41,226.9
Shell Deniliquin,"375 Cressy St, Deniliquin NSW 2710",Deniliquin,2710,Shell,P98,2026-04-14 08:03:41,246.9
Enhance Merrylands,"506 MERRYLANDS RD, MERRYLANDS WEST NSW 2160",MERRYLANDS WEST,2160,Enhance,U91,2026-04-14 08:04:41,208.3
Enhance Merrylands,"506 MERRYLANDS RD, MERRYLANDS WEST NSW 2160",MERRYLANDS WEST,2160,Enhance,P98,2026-04-14 08:04:41,238.3
Ampol Foodary Canberra Airport (Pialligo),"3 ROGAN ST, CANBERRA AIRPORT ACT 2609",CANBERRA AIRPORT,2609,Ampol Foodary,U91,2026-04-14 08:07:13,211.9
Metro Peakhurst,"836 FOREST RD, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,E10,2026-04-14 08:08:12,209.9
