ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Metro Petroleum Earlwood,"281 HOMER ST, EARLWOOD NSW 2206",EARLWOOD,2206,Metro Fuel,P95,2026-08-24 17:54:10,203.9
Metro Petroleum Earlwood,"281 HOMER ST, EARLWOOD NSW 2206",EARLWOOD,2206,Metro Fuel,U91,2026-08-24 17:54:10,192.9
Metro Petroleum Earlwood,"281 HOMER ST, EARLWOOD NSW 2206",EARLWOOD,2206,Metro Fuel,P98,2026-08-24 17:54:10,213.9
7-Eleven Menai,"Corner Allison Crescent & Menai Road, Menai NSW 2234",Menai,2234,7-Eleven,E10,2026-08-24 17:54:17,209.9
7-Eleven Sutherland,"693 Old Princes Highway (Retank Reopens 23 Jun'16), Sutherland NSW 2232",Sutherland,2232,7-Eleven,E10,2026-08-24 17:54:17,209.9
7-Eleven Camperdown,"198 Parramatta Rd, CAMPERDOWN NSW 2050",CAMPERDOWN,2050,7-Eleven,P95,2026-08-24 17:54:17,223.9
7-Eleven Camperdown,"198 Parramatta Rd, CAMPERDOWN NSW 2050",CAMPERDOWN,2050,7-Eleven,E10,2026-08-24 17:54:17,204.9
7-Eleven Camperdown,"198 Parramatta Rd, CAMPERDOWN NSW 2050",CAMPERDOWN,2050,7-Eleven,P98,2026-08-24 17:54:17,232.9
7-Eleven Sutherland,"693 Old Princes Highway (Retank Reopens 23 Jun'16), Sutherland NSW 2232",Sutherland,2232,7-Eleven,P98,2026-08-24 17:54:17,237.9
7-Eleven Menai,"Corner Allison Crescent & Menai Road, Menai NSW 2234",Menai,2234,7-Eleven,P98,2026-08-24 17:54:17,237.9
7-Eleven Fyshwick,"149 Canberra Ave, Fyshwick ACT 2609",Fyshwick,2609,7-Eleven,U91,2026-08-24 17:54:17,206.9
7-Eleven Camperdown,"198 Parramatta Rd, CAMPERDOWN NSW 2050",CAMPERDOWN,2050,7-Eleven,PDL,2026-08-24 17:54:17,247.9
7-Eleven Sutherland,"693 Old Princes Highway (Retank Reopens 23 Jun'16), Sutherland NSW 2232",Sutherland,2232,7-Eleven,P95,2026-08-24 17:54:17,228.9
7-Eleven Sutherland,"693 Old Princes Highway (Retank Reopens 23 Jun'16), Sutherland NSW 2232",Sutherland,2232,7-Eleven,U91,2026-08-24 17:54:17,211.9
7-Eleven Camperdown,"198 Parramatta Rd, CAMPERDOWN NSW 2050",CAMPERDOWN,2050,7-Eleven,U91,2026-08-24 17:54:17,206.9
7-Eleven Fyshwick,"149 Canberra Ave, Fyshwick ACT 2609",Fyshwick,2609,7-Eleven,P98,2026-08-24 17:54:17,232.9
7-Eleven Menai,"Corner Allison Crescent & Menai Road, Menai NSW 2234",Menai,2234,7-Eleven,U91,2026-08-24 17:54:17,211.9
7-Eleven Kensington,"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",Kensington,2033,7-Eleven,U91,2026-08-24 17:57:13,203.9
TANILBA BAY SERVO,"1063 LEMON TREE PASSAGE RD, TANILBA BAY NSW 2319",TANILBA BAY,2319,Independent,DL,2026-08-24 17:57:15,239.5
7-Eleven Kensington,"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",Kensington,2033,7-Eleven,PDL,2026-08-24 18:00:31,253.9
7-Eleven Croydon Park,"45 Georges River Road, Croydon Park NSW 2133",Croydon Park,2133,7-Eleven,P98,2026-08-24 18:00:31,227.9
7-Eleven Croydon Park,"45 Georges River Road, Croydon Park NSW 2133",Croydon Park,2133,7-Eleven,P95,2026-08-24 18:00:31,218.9
7-Eleven Croydon Park,"45 Georges River Road, Croydon Park NSW 2133",Croydon Park,2133,7-Eleven,U91,2026-08-24 18:00:31,201.9
7-Eleven Kensington,"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",Kensington,2033,7-Eleven,E10,2026-08-24 18:00:31,201.9
7-Eleven Croydon Park,"45 Georges River Road, Croydon Park NSW 2133",Croydon Park,2133,7-Eleven,E10,2026-08-24 18:00:31,199.9
7-Eleven Kensington,"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",Kensington,2033,7-Eleven,P98,2026-08-24 18:00:31,229.9
BP Gumly Gumly,"1 Tasman Road, GUMLY GUMLY NSW 2652",GUMLY GUMLY,2652,BP,PDL,2026-08-24 18:02:13,258.9
BP Gumly Gumly,"1 Tasman Road, GUMLY GUMLY NSW 2652",GUMLY GUMLY,2652,BP,DL,2026-08-24 18:02:13,255.9
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,U91,2026-08-24 18:02:42,187.9
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,E10,2026-08-24 18:02:42,185.9
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,P98,2026-08-24 18:02:42,207.9
Independent Bonny Hills,"923 Ocean Drive, Bonny Hills NSW 2445",Bonny Hills,2445,Independent,P95,2026-08-24 18:04:20,214.9
Independent Bonny Hills,"923 Ocean Drive, Bonny Hills NSW 2445",Bonny Hills,2445,Independent,U91,2026-08-24 18:04:20,204.9
Independent Bonny Hills,"923 Ocean Drive, Bonny Hills NSW 2445",Bonny Hills,2445,Independent,DL,2026-08-24 18:04:20,245.9
ARKO ENERGY GOULBURN,"33-35 LAGOON ST, GOULBURN NSW 2580",GOULBURN,2580,Arko Energy,P98,2026-08-24 18:10:10,223.5
ARKO ENERGY GOULBURN,"33-35 LAGOON ST, GOULBURN NSW 2580",GOULBURN,2580,Arko Energy,E10,2026-08-24 18:10:10,194.5
ARKO ENERGY GOULBURN,"33-35 LAGOON ST, GOULBURN NSW 2580",GOULBURN,2580,Arko Energy,U91,2026-08-24 18:10:10,198.5
ARKO ENERGY GOULBURN,"33-35 LAGOON ST, GOULBURN NSW 2580",GOULBURN,2580,Arko Energy,PDL,2026-08-24 18:10:10,246.5
ARKO ENERGY GOULBURN,"33-35 LAGOON ST, GOULBURN NSW 2580",GOULBURN,2580,Arko Energy,DL,2026-08-24 18:10:10,246.5
Metro Petroleum (Bankstown South),160 South Terrace Bankstown NSW 2200,Bankstown,2200,Metro Fuel,U91,2026-08-24 18:10:24,195.7
ARKO Earlwood,"108 HOMER ST, EARLWOOD NSW 2206",EARLWOOD,2206,Arko Energy,P98,2026-08-24 18:13:41,213.5
ARKO Earlwood,"108 HOMER ST, EARLWOOD NSW 2206",EARLWOOD,2206,Arko Energy,U91,2026-08-24 18:13:41,192.5
7-Eleven Croydon Park,"45 Georges River Road, Croydon Park NSW 2133",Croydon Park,2133,7-Eleven,PDL,2026-08-24 18:15:23,247.9
BP Gulgong,"77 Medley St, Gulgong NSW 2852",Gulgong,2852,BP,U91,2026-08-24 18:17:43,209.9
BP Gulgong,"77 Medley St, Gulgong NSW 2852",Gulgong,2852,BP,DL,2026-08-24 18:17:43,252.9
BP Gulgong,"77 Medley St, Gulgong NSW 2852",Gulgong,2852,BP,P95,2026-08-24 18:17:43,229.9
